"StationNbr","Name","City","RegionalOffice","County","ConnectDate","DisconnectDate","IsActive","IsEtoStation","Elevation","GroundCover","HmsLatitude","HmsLongitude","ZipCodes","SitingDesc"
"5","Shafter","Shafter","South Central Region Office","Kern","6/1/1982","12/31/2050","True","True","360","Grass","35º31'57N / 35.532556","-119º16'54W / -119.281790","93280",""
"5","Shafter","Shafter","South Central Region Office","Kern","6/1/1982","12/31/2050","True","True","360","Grass","35º31'57N / 35.532556","-119º16'54W / -119.281790","93388",""
"6","Davis","Davis","North Central Region Office","Yolo","7/17/1982","12/31/2050","True","True","60","Grass","38º32'8N / 38.535694","-121º46'35W / -121.776360","95618",""
"6","Davis","Davis","North Central Region Office","Yolo","7/17/1982","12/31/2050","True","True","60","Grass","38º32'8N / 38.535694","-121º46'35W / -121.776360","95617",""
"6","Davis","Davis","North Central Region Office","Yolo","7/17/1982","12/31/2050","True","True","60","Grass","38º32'8N / 38.535694","-121º46'35W / -121.776360","95616",""
"7","Firebaugh/Telles","Firebaugh","South Central Region Office","Fresno","9/22/1982","12/31/2050","True","False","185","Grass","36º51'4N / 36.851222","-120º35'27W / -120.590920","93622",""
"7","Firebaugh/Telles","Firebaugh","South Central Region Office","Fresno","9/22/1982","12/31/2050","True","False","185","Grass","36º51'4N / 36.851222","-120º35'27W / -120.590920","93665",""
"7","Firebaugh/Telles","Firebaugh","South Central Region Office","Fresno","9/22/1982","12/31/2050","True","False","185","Grass","36º51'4N / 36.851222","-120º35'27W / -120.590920","93620",""
"8","Gerber","Gerber","Northern Region Office","Tehama","9/22/1982","8/14/2014","False","True","250","Grass","40º2'39N / 40.044053","-122º9'56W / -122.165510","96035",""
"8","Gerber","Gerber","Northern Region Office","Tehama","9/22/1982","8/14/2014","False","True","250","Grass","40º2'39N / 40.044053","-122º9'56W / -122.165510","96092",""
"8","Gerber","Gerber","Northern Region Office","Tehama","9/22/1982","8/14/2014","False","True","250","Grass","40º2'39N / 40.044053","-122º9'56W / -122.165510","96090",""
"8","Gerber","Gerber","Northern Region Office","Tehama","9/22/1982","8/14/2014","False","True","250","Grass","40º2'39N / 40.044053","-122º9'56W / -122.165510","96078",""
"8","Gerber","Gerber","Northern Region Office","Tehama","9/22/1982","8/14/2014","False","True","250","Grass","40º2'39N / 40.044053","-122º9'56W / -122.165510","96055",""
"9","Lamont","LaMont","South Central Region Office","Kern","9/29/1982","4/10/1989","False","True","406","Grass","35º14'17N / 35.238056","-118º53'40W / -118.894440","93621",""
"9","Lamont","LaMont","South Central Region Office","Kern","9/29/1982","4/10/1989","False","True","406","Grass","35º14'17N / 35.238056","-118º53'40W / -118.894440","93272",""
"9","Lamont","LaMont","South Central Region Office","Kern","9/29/1982","4/10/1989","False","True","406","Grass","35º14'17N / 35.238056","-118º53'40W / -118.894440","93256",""
"9","Lamont","LaMont","South Central Region Office","Kern","9/29/1982","4/10/1989","False","True","406","Grass","35º14'17N / 35.238056","-118º53'40W / -118.894440","93216",""
"9","Lamont","LaMont","South Central Region Office","Kern","9/29/1982","4/10/1989","False","True","406","Grass","35º14'17N / 35.238056","-118º53'40W / -118.894440","93215",""
"9","Lamont","LaMont","South Central Region Office","Kern","9/29/1982","4/10/1989","False","True","406","Grass","35º14'17N / 35.238056","-118º53'40W / -118.894440","93201",""
"9","Lamont","LaMont","South Central Region Office","Kern","9/29/1982","4/10/1989","False","True","406","Grass","35º14'17N / 35.238056","-118º53'40W / -118.894440","93219",""
"10","Bakersfield/Greenlee","Mettler Station","South Central Region Office","Kern","10/1/1982","4/16/1986","False","True","400","Grass","35º4'37N / 35.077083","-119º4'56W / -119.082130","93383",""
"10","Bakersfield/Greenlee","Mettler Station","South Central Region Office","Kern","10/1/1982","4/16/1986","False","True","400","Grass","35º4'37N / 35.077083","-119º4'56W / -119.082130","93381",""
